Artist ID,Artist name,Region,Track ID,Track name,Release date,Genre,Popularity,Explicit,Duration,Acousticness,Danceability,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Valence
0MK8l3nURwwQIjafvXoJJt,ASIAN KUNG-FU GENERATION,Japan,5bw5mDARMJSk838nfktPfZ,Dicotyledon,2010-06,j-rock,14.0,False,238507,5e-05,0.364,0.842,0.000108,C#,0.103,-3.685,Major,0.0356,189.385,0.723
0MK8l3nURwwQIjafvXoJJt,ASIAN KUNG-FU GENERATION,Japan,54xexr3PmxMYIl2zWgdh5Q,Rising Sun,2010-06,j-rock,13.0,False,257733,0.0147,0.789,0.612,0.000869,C,0.0889,-5.649,Major,0.0392,120.003,0.744
0blbVefuxOGltDBa00dspv,LiSA,Japan,0m1enJeMckm07EP3XSWudD,Tsuyogari Fanfare,2016-08,anime,13.0,False,302440,0.00384,0.522,0.982,0.000499,G#,0.333,-1.782,Major,0.0676,135.975,0.646
24b231EnCM3BkpiuWs5VBE,SID,Japan,5A8FOIaMLkCT1lsOgNDuKR,Milk,2006-11,anime,17.0,False,309720,0.199,0.506,0.684,0.0,C,0.308,-5.214,Major,0.0315,172.104,0.496
00DuPiLri3mNomvvM3nZvU,Ling tosite sigure,Japan,3PE3AoZ0vj7LdN03kKDfzO,Serial Number of Turbo,2018-02,j-rock,16.0,False,258507,0.186,0.554,0.816,0.000899,G,0.389,-5.853,Minor,0.0397,143.915,0.693
6cutt8thPFUICMfxaYerWd,MY FIRST STORY,Japan,1qrvzYIb4g8jGxNF2VZ3z6,institution,2012-04,j-rock,25.0,False,83240,0.0367,0.387,0.868,0.956,A,0.659,-7.177,Major,0.0399,169.961,0.236
3PzqP5IkpLhlSdZLh7jwPn,WagakkiBand,Japan,6DSB12S61jjBGP92x053uk,風立ちぬ,2018-04,j-rock,22.0,False,248400,0.151,0.556,0.857,0.0,G,0.328,-4.1,Major,0.0368,122.997,0.385
3PWp9R5HvbQgxI5KBx5kVd,KANA-BOON,Japan,4myPT8j5jzDvWLgCyEswF0,Yoru Wo Koete,2013-10,anime,15.0,False,276875,0.000366,0.505,0.807,0.00399,G,0.296,-3.318,Major,0.044,134.966,0.367
3w2HqkKa6upwuXEULtGvnY,FLOW,Japan,5dln8qARJBBv5eDOnaxFRT,Enemy,2010-07,anime,12.0,False,253600,1.03e-05,0.424,0.979,0.0683,B,0.251,-2.72,Minor,0.0644,175.903,0.753
0bAsR2unSRpn6BQPEnNlZm,Aimer,Japan,2ZpMA31ohrsntDWZtJCwEA,Re: I Am - Live in Church Version,2013-11,anime,20.0,False,376453,0.962,0.427,0.34,0.000869,G#,0.71,-8.848,Major,0.0276,145.178,0.268
3w2HqkKa6upwuXEULtGvnY,FLOW,Japan,21FkBTuFO6sC9bVigBIBjy,Echoes,2010-07,anime,12.0,False,100520,0.00436,0.364,0.597,0.834,C,0.895,-12.335,Major,0.13,86.983,0.312
3w2HqkKa6upwuXEULtGvnY,FLOW,Japan,1SKW14TGmVMnmIv38MZeuS,Soul Red,2010-07,anime,12.0,False,220520,0.000202,0.643,0.948,0.0,A,0.033,-3.977,Minor,0.0384,113.934,0.822
0bAsR2unSRpn6BQPEnNlZm,Aimer,Japan,1Px0LRSORZpiHltTxlHRgZ,Ninelie (with chelly) - TV Size,2016-05,anime,19.0,False,90307,0.0438,0.462,0.859,7.75e-05,F#,0.114,-6.306,Minor,0.0527,172.155,0.363
0bAsR2unSRpn6BQPEnNlZm,Aimer,Japan,0lAhZBxCDRgkxQmtCEUiau,Tsuyoku Hakanai Monotachi,2012-12,anime,17.0,False,285120,0.339,0.57,0.675,3.73e-05,C#,0.104,-5.591,Minor,0.0256,77.997,0.6
0MK8l3nURwwQIjafvXoJJt,ASIAN KUNG-FU GENERATION,Japan,4MeAAfe8HSfMWxxEPjWRGt,Winner and Loser,2015-05,j-rock,14.0,False,242747,0.00263,0.526,0.953,0.00379,B,0.323,-2.045,Minor,0.0297,94.611,0.586
0MK8l3nURwwQIjafvXoJJt,ASIAN KUNG-FU GENERATION,Japan,6bEPfNKGUbztxauDCZbTA2,Deep Breath,2008-06,j-rock,12.0,False,234867,0.000221,0.506,0.922,2.22e-06,D#,0.0787,-3.963,Major,0.0375,125.323,0.579
00DuPiLri3mNomvvM3nZvU,Ling tosite sigure,Japan,742ZnC1OgUGIScdzXEy5ui,Acoustic,2005-01,j-rock,16.0,False,238147,0.00335,0.353,0.483,0.00068,F#,0.121,-9.888,Major,0.0576,88.401,0.574
